,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner,u_high,u_low,aud,u_high_det,u_low_det,aud_det,total_shock,high_after_shock,high_ex_ante,different,var,uA,uB,uC,uD
736,5.0,4.0,0.0,0.95,1.0,75.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,375.0,600.0,54.132295350743064,375.0,600.0,75.0,-20.86770464925694,0.0,0.0,0.0,100.0,790.0,945.0,718.75,731.25
737,8.0,4.0,100.0,0.75,0.25,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,1724.4495733102551,1162.2247866551274,187.40826221837585,1500.0,1050.0,150.0,37.40826221837586,1.0,1.0,0.0,100.0,1406.25,1987.5,1912.5,2325.0
738,5.0,4.0,0.0,0.95,0.25,35.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,73.87202890337008,159.09762312269606,-13.634125625767979,687.5,650.0,150.0,-163.63412562576798,0.0,1.0,1.0,100.0,1217.5,854.75,1253.125,808.4375
739,8.0,0.0,0.0,0.75,1.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,600.0,0.0,171.90135504877696,600.0,0.0,75.0,96.90135504877695,1.0,1.0,0.0,100.0,0.0,600.0,0.0,1050.0
740,5.0,4.0,100.0,0.95,0.25,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,672.3332644305808,837.8666115444646,79.28887051482155,843.75,975.0,125.0,-45.71112948517844,0.0,0.0,0.0,100.0,1198.75,1551.25,1323.4375,1426.5625
741,8.0,0.0,100.0,0.95,1.0,35.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,280.0,0.0,17.366322220048616,280.0,0.0,75.0,-57.633677779951384,1.0,1.0,0.0,100.0,0.0,600.0,0.0,866.0
742,8.0,4.0,0.0,0.95,1.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,600.0,600.0,17.489378494733224,600.0,600.0,75.0,-57.510621505266776,0.0,0.0,0.0,100.0,600.0,1170.0,600.0,1170.0
743,5.0,0.0,100.0,0.95,0.25,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,728.0726803023053,0.0,94.15271474728141,843.75,0.0,125.0,-30.8472852527186,1.0,1.0,0.0,100.0,0.0,625.0,623.4375,1426.5625
744,5.0,0.0,0.0,0.95,0.25,35.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,D,940.8553281596731,0.0,204.22808750924617,362.5,0.0,50.0,154.22808750924617,1.0,1.0,0.0,100.0,0.0,250.0,475.0,594.375
745,5.0,4.0,100.0,0.75,0.25,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,964.0024020674441,1071.2019216539552,157.0673072179851,937.5,1050.0,150.0,7.067307217985109,0.0,0.0,0.0,100.0,1406.25,1537.5,1532.8125,1453.125
746,5.0,4.0,0.0,0.95,1.0,35.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,175.0,280.0,-82.18505238953827,175.0,280.0,50.0,-132.18505238953827,0.0,0.0,0.0,100.0,400.0,516.0,400.0,416.25
747,5.0,4.0,0.0,0.75,0.25,35.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,994.0390053744284,795.2312042995427,265.07706809984757,375.0,300.0,100.0,165.0770680998476,1.0,1.0,0.0,100.0,625.0,572.5,681.25,521.875
