,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner,u_high,u_low,aud,u_high_det,u_low_det,aud_det,total_shock,high_after_shock,high_ex_ante,different
0,8.179233079975225,5.510462969367324,41.977535475670656,0.09869185474419295,0.8110207483765659,96.73564038996015,9.820669376309132,80.18603712796477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,382.2162404626111,311.62082669716324,195.30934362982703,340.4754164404431,283.4994536006856,168.30495749511795,27.004386134709087,True,True,False
1,8.555742052505197,5.36219473975426,18.377550039378654,0.15052702517523053,0.1748675282530816,97.90200997396965,36.52662320232248,92.5974139577977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,-65.57593591385651,154.7640425853425,-53.55646205068189,1726.969060441666,1278.2171915048953,200.35874120424057,-253.91520325492246,False,True,True
2,6.8638438666586605,2.1023658094799513,38.526105201969884,0.06841013353926073,0.4190098203842719,64.33670380477855,21.217411568200518,2.6535557093429474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,1177.384499491275,495.8870868349921,184.50840925521408,541.4396662479776,301.09992382555913,25.036844490529866,159.47156476468422,True,True,False
3,6.466808410905335,3.05012715159818,44.75209555622569,0.4313710860926592,0.7221835386810922,62.83351516296506,56.22204916239932,14.017595130857197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,504.0583500229859,429.3937715487375,54.39542276064711,453.85283304770417,405.71389721875215,26.450463954893436,27.94495880575367,True,True,False
4,3.633117934623604,1.6153586257684072,93.86396675063463,0.9665135965090634,0.6294260588877482,80.39896249174039,26.03817692167346,74.63155202001468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,355.61084166126943,287.98501928458893,47.17380767651893,439.4086998164445,325.24326287251785,109.41509210722671,-62.24128443070778,True,True,False
5,4.531953937499952,0.4943891065753059,83.38066071320839,0.8680806171193032,0.28158549063448324,88.49431435839652,10.792115930281177,18.588916035900894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,544.1176605543716,103.10821067727429,43.94144633311357,656.6041633645426,115.37931987058164,78.49079249275312,-34.54934615963955,True,True,False
6,6.904594546384275,2.6725593432092785,45.697157447795824,0.982020940026039,0.22821795238096765,71.062749963825,18.268639691601884,20.930120151905896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,423.8603254133432,353.98290558561575,-12.535396803182657,790.1316949508976,495.7554548977633,56.19836589733507,-68.73376270051773,True,True,False
7,6.619271225532817,6.120864495871679,49.82356406635267,0.08596596028251302,0.03652958977228671,66.17833314479668,48.74508907997941,52.87516884313763,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A,138.8587955200272,426.76532504349086,-28.819910315146615,1303.2179440669688,1503.4525206509916,153.75386739629081,-182.57377771143743,False,False,False
8,3.1845773666188104,1.6943383514442356,33.430700742849126,0.25958533796475414,0.15869937586051652,86.03057454796998,63.53681764424404,75.73703838139475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,187.69561929062183,207.5153759346456,-5.465199901982146,683.5181316035315,471.3152468145771,179.59934616316878,-185.06454606515092,False,True,True
9,8.78989974986979,7.5938230755170295,68.30053043261039,0.025188658144304044,0.6291935663445469,47.44066139207165,6.491754465806066,17.381504866029086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A,590.0591828520517,559.064714148445,163.5286442028996,252.91396758244883,267.7961913700831,60.08928583855017,103.43935836434943,True,False,True
