,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner,u_high,u_low,aud,u_high_det,u_low_det,aud_det,total_shock,high_after_shock,high_ex_ante,different,var,uA,uB,uC,uD
7177,7.073132581928709,4.0,20.0,0.95,0.25,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,-0.18647438151225934,299.89454495339805,-100.03515168220065,742.6789211025144,720.0,40.0,-140.03515168220065,0.0,1.0,1.0,100.0,635.25,966.9253032771484,755.5613515213802,988.470278324537
7178,4.556834641760885,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,348.5103984595944,605.9232347522011,1.9744115840670489,563.9082869179094,795.0,65.0,-63.02558841593295,0.0,0.0,0.0,100.0,977.75,1051.4442517144576,941.6004612011035,831.9071242864716
7179,5.543235621397088,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,956.8417908353604,990.4572391921547,130.1524130640516,685.9754081478897,795.0,65.0,65.15241306405157,0.0,0.0,0.0,100.0,977.75,1115.5603153908107,1045.8507147364048,1011.9869531313059
7180,5.098624073100512,4.0,20.0,0.95,0.25,75.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,2298.7618213185096,1903.4369966174934,567.8123322058311,758.4203308737012,695.0,165.0,402.8123322058311,1.0,1.0,0.0,100.0,1320.25,1285.3761665790462,1380.4993143300162,1149.102400475028
7181,4.578403291838843,4.0,20.0,0.95,0.25,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,1610.7382658083293,1507.2489146419446,435.74963821398154,852.7276131049845,845.0,215.0,220.74963821398154,1.0,1.0,0.0,100.0,1662.75,1424.2663785614668,1670.0912324497353,1227.8705328300298
7182,7.631933322516378,4.0,20.0,0.95,0.25,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,1697.6755919939487,989.774855335972,263.2582851119907,1421.4475813186755,845.0,215.0,48.25828511199067,1.0,1.0,0.0,100.0,1662.75,1775.4223320893834,2210.3752022527415,2046.789117932361
7183,6.289991437391977,4.0,20.0,0.95,0.25,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,1145.119904454263,1028.2171467814046,142.7390489271349,542.511761475058,645.0,15.0,127.73904892713487,1.0,0.0,1.0,100.0,292.75,707.0998715608797,276.6115801251862,609.7360449621849
7184,6.817581769698339,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,1063.318037487091,923.8681534928712,107.95605116429041,843.6757440001695,795.0,65.0,42.95605116429041,1.0,1.0,0.0,100.0,977.75,1198.392815030392,1180.5331732849932,1244.634771830553
7185,5.260651516526649,4.0,20.0,0.95,0.25,75.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,192.50345547798403,246.37233040297232,15.457443467657441,782.5219130833391,695.0,165.0,-149.54255653234256,0.0,1.0,1.0,100.0,1320.25,1299.9586364873985,1403.395817429172,1185.6193355371936
7186,4.947256148342255,4.0,20.0,0.95,0.25,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,411.7067786405341,632.8768645047743,10.958954834924754,426.70084279451953,645.0,15.0,-4.0410451650752455,0.0,0.0,0.0,100.0,292.75,686.9588422251338,230.3711336085364,479.57464287992735
7187,8.15862464819481,4.0,20.0,0.95,0.25,75.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,D,1842.4869432928867,1203.3321290007175,201.11070966690585,1162.6040123677603,870.0,90.0,111.11070966690583,1.0,1.0,0.0,100.0,1320.25,1560.776218337533,1812.915645598029,1838.750030086905
7188,6.224616750012442,4.0,20.0,0.95,0.25,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,1093.5993790422199,1002.7577265957998,134.25257553193327,653.5847587513064,720.0,40.0,94.25257553193327,1.0,0.0,1.0,100.0,635.25,932.9846700004977,696.1122110477468,869.8901908142387
7189,7.610605558978969,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,D,264.8121151025824,439.18057534339454,-53.60647488553515,941.8124379236475,795.0,65.0,-118.60647488553515,0.0,1.0,1.0,100.0,977.75,1249.939361333633,1264.3458750145899,1389.4111773610982
7190,4.924810757298457,4.0,20.0,0.95,0.25,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,188.02665337849217,452.7178709150121,-49.094043028329295,424.7649278169919,645.0,15.0,-64.0940430283293,0.0,0.0,0.0,100.0,292.75,686.6221613594769,229.59817045446562,477.3988427856192
7191,6.288462755045811,4.0,20.0,0.95,0.25,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,467.47779496725616,597.3558487515288,-0.8813837494903822,660.2885892798101,720.0,40.0,-40.88138374949038,0.0,0.0,0.0,100.0,635.25,935.5385102018324,700.5854217753971,878.8126700176521
7192,7.512165511807982,4.0,20.0,0.95,0.25,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,360.43949714761493,491.9230861359797,-36.02563795467342,647.9242753934385,645.0,15.0,-51.02563795467342,0.0,1.0,1.0,100.0,292.75,725.4324826771198,318.7001998128874,728.2105443008863
7193,4.812222866601411,4.0,20.0,0.95,0.25,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,664.8827992822963,852.6616848083462,84.22056160278207,415.0542222443717,645.0,15.0,69.22056160278207,0.0,0.0,0.0,100.0,292.75,684.9333429990212,225.7209249685861,466.4848541311743
7194,8.278611632126992,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,D,1329.1488698865744,942.2085871155094,114.06952903850313,1024.4781894757152,795.0,65.0,49.06952903850313,1.0,1.0,0.0,100.0,977.75,1293.3597560882545,1334.9457668704215,1511.364036090184
7195,5.353409862706002,4.0,20.0,0.95,0.25,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,1122.4968145359555,938.7153932342958,246.23846441143195,997.0725869289928,845.0,215.0,31.238464411431963,1.0,1.0,0.0,100.0,1662.75,1513.3921342111903,1807.2189575825432,1435.7176075544658
7196,6.0463724508848635,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,748.2246450117317,794.9907741143084,64.99692470476947,748.2385907970018,795.0,65.0,-0.003075295230533637,0.0,0.0,0.0,100.0,977.75,1148.264209307516,1099.025988402894,1103.840870564668
7197,7.0515189802848806,4.0,20.0,0.95,0.25,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,1580.027360912288,996.2763145528427,265.4254381842809,1313.345410078059,845.0,215.0,50.42543818428092,1.0,1.0,0.0,100.0,1662.75,1708.6746827327613,2107.6781395741564,1891.1292465251515
7198,4.878497418147766,4.0,20.0,0.95,0.25,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,1064.272179575801,1172.622931492604,190.87431049753468,512.2422289055154,720.0,40.0,150.87431049753468,0.0,0.0,0.0,100.0,635.25,879.1398967259106,601.7997253589779,681.7700141861502
7199,7.707286228059139,4.0,20.0,0.95,0.25,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,551.7790535014867,586.3674902809138,-4.544169906362061,664.7534371701008,645.0,15.0,-19.54416990636206,0.0,1.0,1.0,100.0,292.75,728.3592934208871,325.4196694787866,747.1250587324828
7200,6.371236394804928,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,486.96439214158056,605.7267770121659,1.9089256707219846,788.4405038571099,795.0,65.0,-63.091074329278015,0.0,0.0,0.0,100.0,977.75,1169.3803656623204,1133.3600464759459,1163.1488443265746
7201,7.16950696633107,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,395.99006959407103,520.9301540279919,-26.356615324002703,887.2264870834699,795.0,65.0,-91.3566153240027,0.0,1.0,1.0,100.0,977.75,1221.2679528115195,1217.727267504115,1308.883115540816
7202,6.778283120648743,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,764.8977118106351,751.3813885882226,50.46046286274088,838.8125361802819,795.0,65.0,-14.539537137259117,1.0,1.0,0.0,100.0,977.75,1195.8384028421683,1176.379797313564,1237.460312213436
7203,5.193163157735592,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,741.4332870085856,871.0841462041624,90.36138206805414,642.6539407697795,795.0,65.0,25.361382068054144,0.0,0.0,0.0,100.0,977.75,1092.8056052528134,1008.8524312331804,948.0768489841039
7204,5.1753646206131165,4.0,20.0,0.95,0.25,75.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,1198.3578216109536,1026.2016568556178,275.40055228520595,769.8354873162011,695.0,165.0,110.40055228520593,1.0,1.0,0.0,100.0,1320.25,1292.2828158551806,1391.343712950391,1166.397801370681
7205,6.275272208137681,4.0,20.0,0.95,0.25,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,1447.1223325994872,1022.428404443001,274.14280148100033,1168.7694487656431,845.0,215.0,59.14280148100036,1.0,1.0,0.0,100.0,1662.75,1619.4063039358334,1970.3309763273608,1682.9495653199242
7206,4.724362217794359,4.0,20.0,0.95,0.25,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,856.9014047780423,1025.517109209378,141.83903640312604,496.0580328684077,720.0,40.0,101.83903640312604,0.0,0.0,0.0,100.0,635.25,872.9744887117744,591.0006278842172,660.2296199367617
7207,5.700975353513508,4.0,20.0,0.95,0.25,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,C,846.5273670040758,693.9526586322542,164.6508862107514,1061.8066595918908,845.0,215.0,-50.349113789248605,1.0,1.0,0.0,100.0,1662.75,1553.3621656540536,1868.7163266122961,1528.9303276204041
7208,6.374802610728162,4.0,20.0,0.95,0.25,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,-11.681847899975201,292.66998612298,-102.44333795900667,669.354274126457,720.0,40.0,-142.44333795900667,0.0,0.0,0.0,100.0,635.25,938.9921044291265,706.6346079141418,890.8786648492606
7209,5.716609230768038,4.0,20.0,0.95,0.25,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,361.6272801599194,553.0362076970821,-15.654597434305984,493.05754615374326,645.0,15.0,-30.654597434305984,0.0,0.0,0.0,100.0,292.75,698.4991384615206,256.8657303845743,554.1538073075767
7210,6.124560705375066,4.0,20.0,0.95,0.25,75.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,985.236011537121,943.4655864688898,114.48852882296327,757.9143872901644,795.0,65.0,49.48852882296327,1.0,0.0,1.0,100.0,977.75,1153.3464458493793,1107.2895095493272,1118.1151137750353
