,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner
15,3.942831378076257,3.3252782373176237,39.698893305119775,0.38901035659734917,0.17713676251293964,96.5749313311483,92.01146083999615,48.15135272110599,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A
16,5.061591265965424,0.6163856536643608,78.09134759460828,0.5941272794969121,0.7109612541061122,78.59002968703481,8.688806828505125,16.2593432321708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
17,3.1151909684306034,2.0130798333216493,19.990566991710136,0.421388934720068,0.9470482141541688,30.332448383179955,8.220396022916155,9.916539703915973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B
18,7.423641935883544,0.5352954703431423,67.50846907759426,0.25191810927488034,0.6751408821986816,56.9354531747811,17.980424655010786,17.772771301736533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
19,9.440577529626497,3.8040796105022445,43.96613472379375,0.8396399222204372,0.8397062756060326,86.41881488785455,59.519589279182526,78.24890148289172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
20,9.188348757476009,4.499082026222544,43.187150127531325,0.5916304956751199,0.695408608475099,92.29638197346416,64.07042219862711,14.244395742393412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
21,8.09415345053955,3.987414112060379,60.06714892564366,0.5461727340727035,0.2992736833038442,91.47810448762857,34.124109827741535,12.589062844325905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
22,8.905101187365808,4.899413521037237,68.03399270510913,0.750361870186649,0.9940505945726548,68.61331826615121,37.356265928994816,61.94593254755419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B
23,7.3515292746147844,5.92693682937516,24.595297611449553,0.9377292140332526,0.507516737780287,30.128020844172767,14.70843704621927,14.419501551390546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B
24,5.701153297114771,3.0019384803873694,72.20831608559179,0.49764512167429,0.1956878691719588,96.32429092099358,49.20617987847379,34.70623131942543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
25,4.788256061937169,3.359426823669253,91.47830344679079,0.8937079580547755,0.6216477059808918,91.25166748873991,6.53248061030085,54.859965667477795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,D
26,5.795522741548032,2.7162940457889984,94.2722907672945,0.10391001899146024,0.7591432494245485,65.01354113717991,15.709008233984278,63.56441522668887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
27,7.988652594001749,3.3491142289368936,65.96491441754384,0.3887259478716414,0.45816390715619304,66.03081827286262,43.54682148958806,53.53759677490175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
28,7.240850407655387,2.3160294675070627,76.4743037528519,0.9140232739139755,0.9989030265094939,52.72900762757809,41.019803056956974,27.127078902506195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
29,6.988853489043932,1.1711221715463882,80.54161499728471,0.1564205346477311,0.9481412925073968,89.60209455099506,12.409424247813906,1.032108646276153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
30,9.517190749448583,8.943312208072168,63.71000845111839,0.26410586781332535,0.8400494638186005,84.5044260706565,59.092896343221156,11.497515893818155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B
31,8.52478745831334,0.7610205875205966,42.73507558256243,0.6763935637403439,0.14313225523726214,86.97045292154729,47.92509062016489,24.36450647717625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,D
32,9.968793599131162,0.15941558442303605,9.194502359731016,0.32530333983115156,0.7696332032245798,80.7621126520966,33.41278070984877,40.59529853276729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
33,9.791299283132968,5.662118645385814,67.84017492044839,0.7040499971126789,0.3375946910449975,53.7851584399218,1.6364551963062413,35.95193749290466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D
